product_id,category_id,sku,name,description,list_price,active,specs_xml,created_at,updated_at
21,4,SKU-04-0021,Resistance Bands,Resistance Bands in category 4. High quality item for omnichannel retail.,833.90,1,<specs><brand>ActiveLife</brand><color>Grey</color><size>M</size><warranty>6 months</warranty></specs>,2025-03-09 07:03:34,2025-08-16 22:20:55
22,4,SKU-04-0022,Resistance Bands,Resistance Bands in category 4. High quality item for omnichannel retail.,957.40,1,<specs><brand>UrbanHome</brand><color>Black</color><size>XL</size><warranty>24 months</warranty></specs>,2025-04-24 13:33:21,2025-05-12 20:19:05
23,4,SKU-04-0023,Dumbbell Set,Dumbbell Set in category 4. High quality item for omnichannel retail.,773.34,0,<specs><brand>ActiveLife</brand><color>Black</color><size>OneSize</size><warranty>24 months</warranty></specs>,2023-11-10 00:46:47,2024-02-10 12:24:00
24,4,SKU-04-0024,Dumbbell Set,Dumbbell Set in category 4. High quality item for omnichannel retail.,490.96,1,<specs><brand>ActiveLife</brand><color>White</color><size>M</size><warranty>6 months</warranty></specs>,2024-04-13 20:44:44,2024-08-07 16:20:08
25,5,SKU-05-0025,Conditioner Repair,Conditioner Repair in category 5. High quality item for omnichannel retail.,940.02,1,<specs><brand>NorthTech</brand><color>Silver</color><size>XL</size><warranty>24 months</warranty></specs>,2024-07-14 03:29:53,2024-12-05 23:34:46
26,5,SKU-05-0026,Sunscreen SPF 50,Sunscreen SPF 50 in category 5. High quality item for omnichannel retail.,387.59,1,<specs><brand>NorthTech</brand><color>Blue</color><size>L</size><warranty>24 months</warranty></specs>,2024-09-02 23:19:24,2024-10-11 15:24:57
27,5,SKU-05-0027,Conditioner Repair,Conditioner Repair in category 5. High quality item for omnichannel retail.,607.57,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>M</size><warranty>12 months</warranty></specs>,2024-03-02 10:43:38,2024-06-24 09:12:51
28,5,SKU-05-0028,Shampoo Daily,Shampoo Daily in category 5. High quality item for omnichannel retail.,518.50,1,<specs><brand>ActiveLife</brand><color>Black</color><size>L</size><warranty>24 months</warranty></specs>,2025-08-08 04:33:29,2025-12-01 05:10:57
29,5,SKU-05-0029,Shampoo Daily,Shampoo Daily in category 5. High quality item for omnichannel retail.,48.46,1,<specs><brand>OmniBrand</brand><color>Blue</color><size>XL</size><warranty>12 months</warranty></specs>,2024-08-01 23:33:32,2024-12-30 06:30:26
30,5,SKU-05-0030,Shampoo Daily,Shampoo Daily in category 5. High quality item for omnichannel retail.,599.37,1,<specs><brand>UrbanHome</brand><color>White</color><size>M</size><warranty>6 months</warranty></specs>,2025-11-20 06:33:21,2026-03-01 05:46:50
31,6,SKU-06-0031,Card Game Party,Card Game Party in category 6. High quality item for omnichannel retail.,479.76,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>XL</size><warranty>6 months</warranty></specs>,2025-06-21 10:16:10,2025-11-21 11:56:45
32,6,SKU-06-0032,Board Game Family,Board Game Family in category 6. High quality item for omnichannel retail.,757.11,1,<specs><brand>ActiveLife</brand><color>Grey</color><size>OneSize</size><warranty>6 months</warranty></specs>,2023-04-04 14:37:39,2023-05-14 13:51:23
33,6,SKU-06-0033,Strategy Game,Strategy Game in category 6. High quality item for omnichannel retail.,623.56,1,<specs><brand>NorthTech</brand><color>Red</color><size>S</size><warranty>24 months</warranty></specs>,2023-12-28 21:38:27,2024-06-09 05:25:32
34,6,SKU-06-0034,Board Game Family,Board Game Family in category 6. High quality item for omnichannel retail.,35.79,1,<specs><brand>OmniBrand</brand><color>Black</color><size>L</size><warranty>24 months</warranty></specs>,2025-02-13 10:38:43,2025-03-24 12:13:52
35,6,SKU-06-0035,Card Game Party,Card Game Party in category 6. High quality item for omnichannel retail.,794.12,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>XL</size><warranty>12 months</warranty></specs>,2025-02-28 01:21:49,2025-08-22 01:19:45
36,6,SKU-06-0036,Board Game Family,Board Game Family in category 6. High quality item for omnichannel retail.,655.68,1,<specs><brand>UrbanHome</brand><color>Red</color><size>M</size><warranty>24 months</warranty></specs>,2023-02-26 03:33:58,2023-08-09 17:58:29
37,7,SKU-07-0037,Category 7 Premium Item C,Category 7 Premium Item C in category 7. High quality item for omnichannel retail.,211.22,1,<specs><brand>NorthTech</brand><color>Grey</color><size>M</size><warranty>12 months</warranty></specs>,2023-03-11 09:25:53,2023-08-31 09:57:15
38,7,SKU-07-0038,Category 7 Premium Item C,Category 7 Premium Item C in category 7. High quality item for omnichannel retail.,88.59,0,<specs><brand>NorthTech</brand><color>White</color><size>OneSize</size><warranty>24 months</warranty></specs>,2024-01-22 14:55:27,2024-06-04 22:58:33
39,7,SKU-07-0039,Category 7 Standard Item B,Category 7 Standard Item B in category 7. High quality item for omnichannel retail.,208.20,1,<specs><brand>OmniBrand</brand><color>Silver</color><size>L</size><warranty>6 months</warranty></specs>,2024-01-29 08:48:50,2024-02-16 09:02:27
40,7,SKU-07-0040,Category 7 Premium Item C,Category 7 Premium Item C in category 7. High quality item for omnichannel retail.,728.23,1,<specs><brand>OmniBrand</brand><color>Black</color><size>S</size><warranty>6 months</warranty></specs>,2024-10-23 05:26:37,2025-03-01 17:54:55
41,7,SKU-07-0041,Category 7 Standard Item A,Category 7 Standard Item A in category 7. High quality item for omnichannel retail.,960.63,1,<specs><brand>OmniBrand</brand><color>Grey</color><size>S</size><warranty>6 months</warranty></specs>,2024-03-10 19:54:54,2024-05-16 10:40:28
42,7,SKU-07-0042,Category 7 Standard Item B,Category 7 Standard Item B in category 7. High quality item for omnichannel retail.,313.30,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>L</size><warranty>24 months</warranty></specs>,2025-06-23 02:35:20,2025-08-22 23:56:29
43,8,SKU-08-0043,Category 8 Standard Item B,Category 8 Standard Item B in category 8. High quality item for omnichannel retail.,162.51,1,<specs><brand>NorthTech</brand><color>Silver</color><size>S</size><warranty>24 months</warranty></specs>,2023-08-18 17:17:40,2023-11-24 23:03:23
44,8,SKU-08-0044,Category 8 Premium Item C,Category 8 Premium Item C in category 8. High quality item for omnichannel retail.,261.13,1,<specs><brand>ActiveLife</brand><color>Grey</color><size>M</size><warranty>12 months</warranty></specs>,2023-10-02 12:20:25,2024-02-07 19:27:07
45,8,SKU-08-0045,Category 8 Budget Item D,Category 8 Budget Item D in category 8. High quality item for omnichannel retail.,170.59,1,<specs><brand>NorthTech</brand><color>Black</color><size>OneSize</size><warranty>6 months</warranty></specs>,2024-05-14 09:11:03,2024-10-16 06:31:21
46,8,SKU-08-0046,Category 8 Premium Item C,Category 8 Premium Item C in category 8. High quality item for omnichannel retail.,666.90,1,<specs><brand>OmniBrand</brand><color>White</color><size>XL</size><warranty>12 months</warranty></specs>,2025-10-20 10:08:06,2026-03-29 16:48:12
47,8,SKU-08-0047,Category 8 Standard Item A,Category 8 Standard Item A in category 8. High quality item for omnichannel retail.,696.32,1,<specs><brand>OmniBrand</brand><color>Red</color><size>S</size><warranty>6 months</warranty></specs>,2025-08-21 04:27:54,2026-01-07 18:03:59
48,8,SKU-08-0048,Category 8 Budget Item D,Category 8 Budget Item D in category 8. High quality item for omnichannel retail.,142.60,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>OneSize</size><warranty>12 months</warranty></specs>,2024-04-07 15:25:06,2024-07-13 23:49:14
49,9,SKU-09-0049,Category 9 Budget Item D,Category 9 Budget Item D in category 9. High quality item for omnichannel retail.,822.71,1,<specs><brand>OmniBrand</brand><color>White</color><size>L</size><warranty>24 months</warranty></specs>,2024-03-24 06:27:45,2024-07-13 05:31:09
50,9,SKU-09-0050,Category 9 Standard Item B,Category 9 Standard Item B in category 9. High quality item for omnichannel retail.,836.92,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>XL</size><warranty>12 months</warranty></specs>,2025-10-18 17:15:22,2025-11-01 19:45:32
51,9,SKU-09-0051,Category 9 Budget Item D,Category 9 Budget Item D in category 9. High quality item for omnichannel retail.,863.57,1,<specs><brand>OmniBrand</brand><color>Black</color><size>S</size><warranty>12 months</warranty></specs>,2024-11-15 04:02:17,2025-04-28 17:38:12
52,9,SKU-09-0052,Category 9 Premium Item C,Category 9 Premium Item C in category 9. High quality item for omnichannel retail.,520.95,1,<specs><brand>OmniBrand</brand><color>Red</color><size>OneSize</size><warranty>24 months</warranty></specs>,2023-04-18 02:57:03,2023-05-23 12:19:14
53,9,SKU-09-0053,Category 9 Premium Item C,Category 9 Premium Item C in category 9. High quality item for omnichannel retail.,726.24,1,<specs><brand>ActiveLife</brand><color>Red</color><size>S</size><warranty>6 months</warranty></specs>,2025-02-21 19:57:02,2025-03-21 21:21:30
54,9,SKU-09-0054,Category 9 Premium Item C,Category 9 Premium Item C in category 9. High quality item for omnichannel retail.,992.87,1,<specs><brand>NorthTech</brand><color>White</color><size>L</size><warranty>24 months</warranty></specs>,2025-01-07 14:47:32,2025-02-15 08:32:20
55,10,SKU-10-0055,Category 10 Standard Item B,Category 10 Standard Item B in category 10. High quality item for omnichannel retail.,411.25,1,<specs><brand>OmniBrand</brand><color>Silver</color><size>OneSize</size><warranty>12 months</warranty></specs>,2025-06-24 16:37:58,2025-10-31 22:01:18
56,10,SKU-10-0056,Category 10 Budget Item D,Category 10 Budget Item D in category 10. High quality item for omnichannel retail.,892.57,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>L</size><warranty>24 months</warranty></specs>,2023-01-06 14:03:05,2023-03-16 04:36:41
57,10,SKU-10-0057,Category 10 Standard Item A,Category 10 Standard Item A in category 10. High quality item for omnichannel retail.,808.28,1,<specs><brand>ActiveLife</brand><color>Red</color><size>L</size><warranty>12 months</warranty></specs>,2023-05-21 23:52:09,2023-08-10 01:38:37
58,10,SKU-10-0058,Category 10 Budget Item D,Category 10 Budget Item D in category 10. High quality item for omnichannel retail.,135.74,1,<specs><brand>NorthTech</brand><color>White</color><size>XL</size><warranty>12 months</warranty></specs>,2023-11-03 07:55:23,2023-11-29 19:45:36
59,10,SKU-10-0059,Category 10 Standard Item A,Category 10 Standard Item A in category 10. High quality item for omnichannel retail.,319.83,1,<specs><brand>OmniBrand</brand><color>Blue</color><size>L</size><warranty>24 months</warranty></specs>,2024-09-15 01:39:31,2025-01-05 14:37:20
60,10,SKU-10-0060,Category 10 Budget Item D,Category 10 Budget Item D in category 10. High quality item for omnichannel retail.,89.07,1,<specs><brand>UrbanHome</brand><color>Silver</color><size>S</size><warranty>12 months</warranty></specs>,2023-05-29 20:52:34,2023-05-31 00:34:40
61,11,SKU-11-0061,Category 11 Standard Item A,Category 11 Standard Item A in category 11. High quality item for omnichannel retail.,384.01,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>OneSize</size><warranty>24 months</warranty></specs>,2024-11-10 08:33:02,2025-02-10 12:38:02
62,11,SKU-11-0062,Category 11 Premium Item C,Category 11 Premium Item C in category 11. High quality item for omnichannel retail.,228.48,1,<specs><brand>OmniBrand</brand><color>Black</color><size>L</size><warranty>6 months</warranty></specs>,2024-08-14 23:17:08,2024-09-15 12:04:56
63,11,SKU-11-0063,Category 11 Budget Item D,Category 11 Budget Item D in category 11. High quality item for omnichannel retail.,683.77,1,<specs><brand>UrbanHome</brand><color>White</color><size>M</size><warranty>24 months</warranty></specs>,2023-05-09 05:07:46,2023-07-15 02:16:17
64,11,SKU-11-0064,Category 11 Premium Item C,Category 11 Premium Item C in category 11. High quality item for omnichannel retail.,46.53,1,<specs><brand>OmniBrand</brand><color>Silver</color><size>M</size><warranty>12 months</warranty></specs>,2023-02-22 08:42:12,2023-06-06 11:08:26
65,11,SKU-11-0065,Category 11 Standard Item A,Category 11 Standard Item A in category 11. High quality item for omnichannel retail.,486.99,1,<specs><brand>ActiveLife</brand><color>White</color><size>S</size><warranty>24 months</warranty></specs>,2025-05-06 00:21:17,2025-10-18 01:51:54
66,11,SKU-11-0066,Category 11 Standard Item A,Category 11 Standard Item A in category 11. High quality item for omnichannel retail.,326.59,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>OneSize</size><warranty>24 months</warranty></specs>,2023-12-30 11:00:10,2024-04-07 22:16:19
67,12,SKU-12-0067,Category 12 Standard Item A,Category 12 Standard Item A in category 12. High quality item for omnichannel retail.,855.51,1,<specs><brand>ActiveLife</brand><color>Grey</color><size>XL</size><warranty>24 months</warranty></specs>,2023-09-23 07:29:25,2023-10-29 00:49:07
68,12,SKU-12-0068,Category 12 Standard Item B,Category 12 Standard Item B in category 12. High quality item for omnichannel retail.,731.55,1,<specs><brand>NorthTech</brand><color>Silver</color><size>XL</size><warranty>12 months</warranty></specs>,2024-01-25 12:24:49,2024-03-19 02:19:35
69,12,SKU-12-0069,Category 12 Premium Item C,Category 12 Premium Item C in category 12. High quality item for omnichannel retail.,871.76,1,<specs><brand>NorthTech</brand><color>Red</color><size>L</size><warranty>24 months</warranty></specs>,2025-02-25 00:22:09,2025-05-27 22:07:19
70,12,SKU-12-0070,Category 12 Budget Item D,Category 12 Budget Item D in category 12. High quality item for omnichannel retail.,618.64,1,<specs><brand>OmniBrand</brand><color>Black</color><size>L</size><warranty>24 months</warranty></specs>,2024-05-03 11:53:37,2024-07-23 04:00:20
71,12,SKU-12-0071,Category 12 Budget Item D,Category 12 Budget Item D in category 12. High quality item for omnichannel retail.,449.49,1,<specs><brand>NorthTech</brand><color>Black</color><size>S</size><warranty>6 months</warranty></specs>,2025-06-25 17:47:11,2025-08-08 02:44:09
72,12,SKU-12-0072,Category 12 Budget Item D,Category 12 Budget Item D in category 12. High quality item for omnichannel retail.,383.16,1,<specs><brand>NorthTech</brand><color>Silver</color><size>OneSize</size><warranty>24 months</warranty></specs>,2024-01-27 17:54:45,2024-06-29 22:02:43
73,13,SKU-13-0073,Category 13 Standard Item B,Category 13 Standard Item B in category 13. High quality item for omnichannel retail.,992.13,1,<specs><brand>ActiveLife</brand><color>Red</color><size>L</size><warranty>12 months</warranty></specs>,2023-06-29 09:46:42,2023-12-13 09:37:45
74,13,SKU-13-0074,Category 13 Premium Item C,Category 13 Premium Item C in category 13. High quality item for omnichannel retail.,546.20,1,<specs><brand>ActiveLife</brand><color>Black</color><size>L</size><warranty>24 months</warranty></specs>,2023-03-30 04:33:41,2023-06-19 16:51:20
75,13,SKU-13-0075,Category 13 Standard Item A,Category 13 Standard Item A in category 13. High quality item for omnichannel retail.,948.21,1,<specs><brand>UrbanHome</brand><color>White</color><size>OneSize</size><warranty>24 months</warranty></specs>,2024-07-25 22:50:40,2024-08-05 22:40:37
76,13,SKU-13-0076,Category 13 Premium Item C,Category 13 Premium Item C in category 13. High quality item for omnichannel retail.,107.07,1,<specs><brand>ActiveLife</brand><color>Red</color><size>S</size><warranty>24 months</warranty></specs>,2025-02-25 05:20:44,2025-03-24 02:43:18
77,13,SKU-13-0077,Category 13 Premium Item C,Category 13 Premium Item C in category 13. High quality item for omnichannel retail.,631.48,1,<specs><brand>ActiveLife</brand><color>Black</color><size>OneSize</size><warranty>12 months</warranty></specs>,2023-09-16 03:18:05,2023-12-28 06:47:05
78,13,SKU-13-0078,Category 13 Standard Item A,Category 13 Standard Item A in category 13. High quality item for omnichannel retail.,108.62,1,<specs><brand>NorthTech</brand><color>Grey</color><size>XL</size><warranty>6 months</warranty></specs>,2023-12-15 09:23:15,2024-02-26 15:43:07
79,14,SKU-14-0079,Category 14 Standard Item A,Category 14 Standard Item A in category 14. High quality item for omnichannel retail.,274.84,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>XL</size><warranty>24 months</warranty></specs>,2024-04-19 08:11:40,2024-09-11 21:11:50
80,14,SKU-14-0080,Category 14 Premium Item C,Category 14 Premium Item C in category 14. High quality item for omnichannel retail.,443.82,1,<specs><brand>NorthTech</brand><color>Black</color><size>OneSize</size><warranty>24 months</warranty></specs>,2025-07-24 20:21:14,2025-07-29 23:53:24
81,14,SKU-14-0081,Category 14 Standard Item A,Category 14 Standard Item A in category 14. High quality item for omnichannel retail.,79.22,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>XL</size><warranty>12 months</warranty></specs>,2023-01-29 14:04:00,2023-02-14 00:24:47
82,14,SKU-14-0082,Category 14 Standard Item A,Category 14 Standard Item A in category 14. High quality item for omnichannel retail.,165.11,1,<specs><brand>OmniBrand</brand><color>Black</color><size>L</size><warranty>6 months</warranty></specs>,2024-11-15 04:15:39,2025-01-08 07:10:27
83,14,SKU-14-0083,Category 14 Premium Item C,Category 14 Premium Item C in category 14. High quality item for omnichannel retail.,475.93,1,<specs><brand>ActiveLife</brand><color>Blue</color><size>OneSize</size><warranty>6 months</warranty></specs>,2025-05-12 05:22:35,2025-05-28 05:47:50
84,14,SKU-14-0084,Category 14 Budget Item D,Category 14 Budget Item D in category 14. High quality item for omnichannel retail.,567.91,1,<specs><brand>ActiveLife</brand><color>Grey</color><size>M</size><warranty>24 months</warranty></specs>,2024-05-30 02:12:29,2024-11-08 06:42:16
85,15,SKU-15-0085,Category 15 Standard Item A,Category 15 Standard Item A in category 15. High quality item for omnichannel retail.,412.94,1,<specs><brand>UrbanHome</brand><color>Silver</color><size>S</size><warranty>6 months</warranty></specs>,2025-02-01 15:00:11,2025-02-15 03:33:36
86,15,SKU-15-0086,Category 15 Budget Item D,Category 15 Budget Item D in category 15. High quality item for omnichannel retail.,24.36,1,<specs><brand>ActiveLife</brand><color>White</color><size>M</size><warranty>12 months</warranty></specs>,2025-01-01 10:34:27,2025-01-21 21:23:43
87,15,SKU-15-0087,Category 15 Standard Item A,Category 15 Standard Item A in category 15. High quality item for omnichannel retail.,83.95,1,<specs><brand>ActiveLife</brand><color>Red</color><size>L</size><warranty>12 months</warranty></specs>,2025-07-04 04:56:10,2025-12-26 14:27:25
88,15,SKU-15-0088,Category 15 Standard Item B,Category 15 Standard Item B in category 15. High quality item for omnichannel retail.,417.29,1,<specs><brand>NorthTech</brand><color>White</color><size>S</size><warranty>6 months</warranty></specs>,2024-04-20 06:56:31,2024-09-04 13:51:34
89,15,SKU-15-0089,Category 15 Premium Item C,Category 15 Premium Item C in category 15. High quality item for omnichannel retail.,779.91,0,<specs><brand>OmniBrand</brand><color>Red</color><size>OneSize</size><warranty>12 months</warranty></specs>,2024-02-09 02:22:45,2024-03-20 21:06:53
90,15,SKU-15-0090,Category 15 Standard Item A,Category 15 Standard Item A in category 15. High quality item for omnichannel retail.,135.29,1,<specs><brand>OmniBrand</brand><color>White</color><size>XL</size><warranty>6 months</warranty></specs>,2025-04-16 08:28:32,2025-05-15 23:35:10
91,16,SKU-16-0091,Category 16 Budget Item D,Category 16 Budget Item D in category 16. High quality item for omnichannel retail.,193.73,1,<specs><brand>OmniBrand</brand><color>Grey</color><size>S</size><warranty>6 months</warranty></specs>,2023-05-12 13:25:08,2023-06-07 22:06:39
92,16,SKU-16-0092,Category 16 Budget Item D,Category 16 Budget Item D in category 16. High quality item for omnichannel retail.,796.39,1,<specs><brand>UrbanHome</brand><color>Blue</color><size>M</size><warranty>24 months</warranty></specs>,2025-07-13 16:30:05,2025-12-17 22:09:08
93,16,SKU-16-0093,Category 16 Budget Item D,Category 16 Budget Item D in category 16. High quality item for omnichannel retail.,156.52,1,<specs><brand>OmniBrand</brand><color>Blue</color><size>S</size><warranty>24 months</warranty></specs>,2024-12-29 17:48:42,2025-05-11 19:35:43
94,16,SKU-16-0094,Category 16 Budget Item D,Category 16 Budget Item D in category 16. High quality item for omnichannel retail.,541.72,1,<specs><brand>ActiveLife</brand><color>White</color><size>L</size><warranty>12 months</warranty></specs>,2023-08-10 11:51:26,2023-09-03 10:47:44
95,16,SKU-16-0095,Category 16 Premium Item C,Category 16 Premium Item C in category 16. High quality item for omnichannel retail.,170.50,1,<specs><brand>NorthTech</brand><color>White</color><size>L</size><warranty>24 months</warranty></specs>,2025-07-10 17:52:17,2025-11-14 16:57:04
96,16,SKU-16-0096,Category 16 Standard Item A,Category 16 Standard Item A in category 16. High quality item for omnichannel retail.,534.69,0,<specs><brand>NorthTech</brand><color>Red</color><size>OneSize</size><warranty>12 months</warranty></specs>,2023-09-20 18:41:54,2024-01-30 08:10:46
97,17,SKU-17-0097,Category 17 Standard Item A,Category 17 Standard Item A in category 17. High quality item for omnichannel retail.,526.83,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>OneSize</size><warranty>6 months</warranty></specs>,2024-06-24 22:41:37,2024-08-18 16:21:56
98,17,SKU-17-0098,Category 17 Budget Item D,Category 17 Budget Item D in category 17. High quality item for omnichannel retail.,371.21,1,<specs><brand>NorthTech</brand><color>Blue</color><size>M</size><warranty>12 months</warranty></specs>,2024-05-16 05:59:20,2024-10-24 00:00:52
99,17,SKU-17-0099,Category 17 Budget Item D,Category 17 Budget Item D in category 17. High quality item for omnichannel retail.,212.95,1,<specs><brand>OmniBrand</brand><color>Black</color><size>M</size><warranty>12 months</warranty></specs>,2024-04-29 13:51:00,2024-05-22 13:04:27
100,17,SKU-17-0100,Category 17 Premium Item C,Category 17 Premium Item C in category 17. High quality item for omnichannel retail.,104.35,1,<specs><brand>NorthTech</brand><color>Black</color><size>S</size><warranty>6 months</warranty></specs>,2024-10-06 01:58:01,2024-11-14 19:08:14
101,17,SKU-17-0101,Category 17 Standard Item A,Category 17 Standard Item A in category 17. High quality item for omnichannel retail.,176.04,1,<specs><brand>NorthTech</brand><color>Black</color><size>L</size><warranty>12 months</warranty></specs>,2024-05-16 08:54:42,2024-07-18 02:28:27
102,17,SKU-17-0102,Category 17 Premium Item C,Category 17 Premium Item C in category 17. High quality item for omnichannel retail.,416.03,1,<specs><brand>ActiveLife</brand><color>Silver</color><size>OneSize</size><warranty>6 months</warranty></specs>,2023-07-28 12:05:41,2024-01-18 18:45:22
103,18,SKU-18-0103,Category 18 Premium Item C,Category 18 Premium Item C in category 18. High quality item for omnichannel retail.,586.34,1,<specs><brand>NorthTech</brand><color>Blue</color><size>XL</size><warranty>12 months</warranty></specs>,2025-10-17 21:14:08,2025-12-26 21:26:40
104,18,SKU-18-0104,Category 18 Budget Item D,Category 18 Budget Item D in category 18. High quality item for omnichannel retail.,987.03,1,<specs><brand>UrbanHome</brand><color>White</color><size>OneSize</size><warranty>24 months</warranty></specs>,2024-03-06 03:41:39,2024-03-19 21:21:16
105,18,SKU-18-0105,Category 18 Budget Item D,Category 18 Budget Item D in category 18. High quality item for omnichannel retail.,400.48,1,<specs><brand>ActiveLife</brand><color>White</color><size>XL</size><warranty>24 months</warranty></specs>,2025-01-14 23:51:24,2025-01-27 10:43:31
